,ASIN,name,price,merchantInfo,isPrime,customerReview,customerReviewCount,description,byLineInfo,Kindle Store,Kindle eBooks,Literature & Fiction,features,publisher,publication date,language,file size,texttospeech,screen reader,enhanced typesetting,xray,word wise,sticky notes,print length,best sellers rank,simultaneous device usage,page numbers source isbn,Books,Teen & Young Adult,paperback,isbn13,reading age,item weight,dimensions,Children's Books,Comics & Graphic Novels,hardcover,isbn10,lexile measure,grade level,Genre Fiction,Graphic Novels,Animals,Science Fiction & Fantasy,Fantasy,Science Fiction,Adventure,listening length,author,narrator,whispersync for voice,audiblecom release date,program type,version,United States,Family Life,Computers & Technology,"Mystery, Thriller & Suspense",Thrillers & Suspense,Travel,Specialty Travel,"Fairy Tales, Folk Tales & Myths",History & Criticism,Action & Adventure,Mystery,"Activities, Crafts & Games",Children's eBooks,Growing Up & Facts of Life,"Comics, Manga & Graphic Novels",Historical,History,Manga,Crime,Reference,"Writing, Research & Publishing Guides",Light Novels,Magical Realism,Religions,Australia & Oceania,Sea Stories,Science & Math,Biological Sciences,Romance,Short Stories & Anthologies,Audible Books & Originals,Paranormal & Urban,Contemporary,"TV, Movie, Video Game Adaptations",Humor & Entertainment,Epic,Horror,Dark Fantasy,Paranormal,Urban,Erotica,Mythology & Folk Tales,Myths & Legends,Asian,Cultural Heritage,Arts & Photography,Politics & Social Sciences,Politics & Government,Family Saga,LGBTQ+ Books,Women's Fiction,Police Procedurals,Humor & Satire,Dark Humor,Anthologies,Psychological Thrillers,Biographical,Women Sleuths,Cozy,Crafts & Hobbies,mass market paperback,Suspense,Biographies & Memoirs,True Crime,Crime & Criminal Biographies,Traditional Detectives,Coming of Age,International & World Politics,Russia & Soviet Union,Asia,Education & Teaching,Schools & Teaching,Religion & Spirituality,Spirituality,"Arts, Music & Photography",Engineering & Transportation,Engineering,Americas,Medical Books,Medicine,Parenting & Relationships,Military,Education & Reference,Self-Help,Biographies,Philosophy,Social Sciences,Geography & Cultures,Community & Culture,Business & Money,Management & Leadership,New Age & Spirituality,World,Professionals & Academics,"Crafts, Hobbies & Home",Leaders & Notable People,Pets & Animal Care,"Cookbooks, Food & Wine",Regional & International,Spies & Politics,Political,War,Sociology,World Literature,Latino American,Movies,Psychological,Christian Books & Bibles,Sports & Outdoors,"Science, Nature & How It Works",Office Products,Office & School Supplies,"Tape, Adhesives & Fasteners",Psychology,Architecture,Internal Medicine,Pathology,Forensic Medicine,Home Improvement & Design,Specific Topics,Intelligence & Espionage,Mysticism,leather bound,Alien Invasion,Hard Science Fiction,Metaphysical & Visionary,Technothrillers,Space Opera,Social & Family Issues,Family,Superheroes,Dystopian,Themes,Humorous,#1 in kindle singles,Ghosts,Gothic
2,B097QRW24W,a safe house (a stone barrington novel book 61),9.99,,True,4.1,6356.0, ,stuart woods,1.0,1.0,1.0,[],gp putnams sons (march 22 2022),march 22 2022,english,3703 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,300 pages,55719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B0CQ3YCJW8,black summoner: volume 16,7.99,,True,,0.0, ,doufu mayoi,1.0,1.0,1.0,[],jnovel club (march 12 2024),march 12 2024,english,,enabled,,,,,,,95958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B0CLWP6R1J,wings of glory: a uss enterprise naval adventure novel (fightin'est ship in wwii series book 3),,,True,4.5,947.0, ,scott cook,1.0,1.0,1.0,[],spindrift press (november 15 2023),november 15 2023,english,3097 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,260 pages,9142.0,unlimited,b0cn4dztr5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B0CTJ2GWW6,avalon lost: a ya fantasy adventure novel,15.99,,True,3.0,2.0, ,mary rose kreger,,,1.0,[],mrk books (february 8 2024),,english,,,,,,,,,370182.0,,,1.0,1.0,426 pages,9798218337292,12  18 years,118 pounds,55 x 107 x 85 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1338846620,cat kid comic club: collaborations: a graphic novel (cat kid comic club #4): from the creator of dog man,7.55,2nd life books ✅,True,4.8,4402.0, doublecrunchy book o fun captain underpants anniversary dog man #1 cat kid comic club #1 more from dav pilkey the captain underpants doublecrunchy book o fun includes comics puzzles jokes fliporamas and more all in full color celebrate the anniversary of the adventures of captain underpants with a special edition featuring a brand new 32page dog man comic from worldwide bestselling author and artist dav pilkey comes dog man the canine cop whos part dog part man and all hero a pioneering new graphic novel series by dav pilkey the author and illustrator of the internationally bestselling dog man and captain underpants series,dav pilkey,,,,[],graphix (november 29 2022),,english,,,,,,,,,1090.0,,,1.0,,,9781338846621,7  10 years from customers,12 pounds,575 x 075 x 85 inches,1.0,1.0,224 pages,1338846620,gn290l,2  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B0CLV6Y27R,swift and silent: a jesse mcdermitt novel (caribbean adventure series book 27),7.99,,True,,0.0,things in the middle florida keys aren’t as idyllic as they seem if one looks closely there’s a layer of dirt just below the surface the buttugly kind of dirt that’s hard to get offthings move slowly in the keys—locals call it island time—but there are some for whom it seems that time is at a standstill whose clocks revolve only around the tides fish migrations and the rising and setting of the sun and moonjesse mcdermitt remembers the keys the way he’d first found them as a young man he’s lived on his little island in the content keys for a long time and he’s learned to adapt to some of the change but not all of it has been positive and it seems the dirt has a way of finding jesse sticking to his feet like everglades mudis it finally time to go away to completely disappear he has the means and there are places in the world where the dirt hasn’t settled places he’d like to show his wife and familya group of wouldbe yacht thieves attack the wrong boat unleashing a series of events that will ensure their downfall they come when most people are sleeping—under the cover of darkness but nighttime and jesse mcdermitt are old and dear friendsagainst his will and along with his family and friends jesse is thrust back into the struggle between right and wrong one more timeand this time it gets personal ,wayne stinnett,1.0,1.0,1.0,[],down island press (march 1 2024),march 1 2024,english,5815 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,270 pages,12547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B0CQMMBB4K,jubal stone: u.s. marshal: showdown at high plains oasis: a western adventure novel (a jubal stone: u.s. marshal western book 44),,,True,4.5,487.0, ,casey nash,1.0,1.0,1.0,[],ds productions (december 18 2023),december 18 2023,english,1643 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,119 pages,9927.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1338889435,spider-ham: a pig in time,8.99,hpbdiamond,True,5.0,7.0, ,steve foxe,,,,[],graphix (january 2 2024),,english,,,,,,,,,72659.0,,,1.0,,80 pages,9781338889437,6  8 years,85 ounces,58 x 03 x 88 inches,1.0,1.0,,1338889435,gn520l,1  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1974725855,"pokémon adventures: x•y, vol. 1 (1)",8.69,ships from and sold by thriftbooksbaltimore,True,4.8,1181.0,awesome pokémon adventures inspired by the bestselling pokémon x and y video gamesx was a pokémon trainer child prodigy he hated being in the spotlight so he took to hiding in his room and avoiding everyone—including his best friend y but now a surprise attack has brought x out of hidingnow it’s up to x to use the skills that made him champion to defeat the threat looming over vaniville town can the reclusive x and the determined y help their friends ward off two legendary pokémon and the mysterious team flare ,hidenori kusaka,,,,[],viz media llc (january 11 2022),,english,,,,,,,,,136941.0,,,1.0,,304 pages,9781974725854,8  12 years,231 pounds,5 x 1 x 75 inches,1.0,1.0,,1974725855,,3  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1250204038,migrations,11.39,shakespeare book house,True,4.4,11541.0, ,charlotte mcconaghy,,,1.0,[],flatiron books (july 6 2021),,english,,,,,,,,,5691.0,,,1.0,,288 pages,9781250204035,,231 pounds,545 x 075 x 825 inches,,,,1250204038,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1779507895,batman: the adventures continue season one,15.49,ships from and sold by hpbemerald,True,4.7,563.0, ,paul dini,,,,[],dc comics (june 1 2021),,english,,,,,,,,,71585.0,,,1.0,,208 pages,9781779507891,,123 ounces,665 x 043 x 102 inches,,1.0,,1779507895,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B0CV7CTZYT,brothers in guns and dust: a historical western adventure novel,,,True,5.0,6.0, ,henry mcconley,1.0,1.0,1.0,[],regal quill publishing (february 7 2024),february 7 2024,english,3560 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,434 pages,6739.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B0CFHGZYW7,behind enemy lines an explosive action packed military aviation thriller adventure novel (military aviation thrillers),,,True,3.9,76.0, ,richard townshend bickers,1.0,1.0,1.0,[],lume books historical fiction military thrillers (august 11 2023),august 11 2023,english,2747 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,168 pages,341162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B09WW3N1DX,tokyo express: a wwii submarine adventure novel (uss bull shark naval thriller series book 4),,,True,4.6,3132.0, ,scott cook,1.0,1.0,1.0,[],spindrift press (march 29 2022),march 29 2022,english,1916 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,565 pages,18278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B0CNZJHPQG,kill that senator: a western adventure novel (shorty thompson: u.s. marshal: tales of the old west book 125),,,True,4.5,498.0, ,paul l thompson,1.0,1.0,1.0,[],ds productions (november 24 2023),november 24 2023,english,1484 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,132 pages,15031.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0063240246,"warriors: a thief in thunderclan (warriors graphic novel, 4)",9.69,,True,4.7,386.0, ,erin hunter,,,,[],harperalley (june 6 2023),,english,,,,,,,,,9684.0,,,1.0,,208 pages,9780063240247,10+ years from customers,231 pounds,5 x 05 x 75 inches,1.0,,,0063240246,hl430l,3  7,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,164827322X,mushoku tensei: jobless reincarnation (light novel) vol. 13,13.56,,True,4.8,1787.0, ,rifujin na magonote,,,,[],airship (november 16 2021),,english,,,,,,,,,11891.0,,,1.0,,320 pages,9781648273223,,108 ounces,5 x 1 x 71 inches,,,,164827322x,,10  12,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1338796208,the message (animorphs graphix #4) (animorphs graphic novels),12.99,hpbdiamond,True,4.8,57.0, ,k a applegate,,,,[],graphix (december 5 2023),,english,,,,,,,,,25987.0,,,1.0,,208 pages,9781338796209,8  12 years,155 ounces,591 x 047 x 89 inches,1.0,,,1338796208,,3  7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
