url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDM4NTIxMDI5MzQxMDQ2OjE3MDgxMDEzMTg6c3BfYXRmOjIwMDAxMTk2Njk1NDkzMTo6MDo6&url=%2FAmazon-Elements-Wipes-Sensitive-Flip-Top%2Fdp%2FB07H4V7M4C%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3Dbaby%2Bwipes%26qid%3D1708101318%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Amazon Elements Baby Wipes, Sensitive, Fragrance Free, White, 810 Count (9 Packs of 90 count)",B07H4V7M4C,https://m.media-amazon.com/images/I/81Pgfjce-sL._AC_UL320_.jpg,$21.50,True,"$20.43 with Subscribe & Save discountSpend $80.00, Get $20 Amazon Credit$2.65",4.7 out of 5 stars,32845
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDM4NTIxMDI5MzQxMDQ2OjE3MDgxMDEzMTg6c3BfYXRmOjIwMDE2NjcxNTUwODk5ODo6MDo6&url=%2FPampers-Wipes-Sensitive-Perfume-Multi%2Fdp%2FB0BJ13K7FR%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbaby%2Bwipes%26qid%3D1708101318%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Pampers Sensitive Baby Wipes, Water Based, Hypoallergenic and Unscented, 8 Fip-Top Packs, 4 Refill Packs (1008 Wipes Total)",B0BJ13K7FR,https://m.media-amazon.com/images/I/91x2pWKhfDL._AC_UL320_.jpg,9 sizes,True,$33.22 with Subscribe & Save discount$3.00 coupon applied at checkoutSave $3.00 with coupon$3.47,4.8 out of 5 stars,111176
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDM4NTIxMDI5MzQxMDQ2OjE3MDgxMDEzMTg6c3BfYXRmOjIwMDE0MjE0OTU4NjE5ODo6MDo6&url=%2FPampers-Sensitive-Hypoallergenic-Unscented-Flip-Top%2Fdp%2FB0BJ13XWDD%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dbaby%2Bwipes%26qid%3D1708101318%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Pampers Aqua Pure Sensitive Baby Wipes, 99% Water, Hypoallergenic, Unscented, 12 Flip-Top Packs (672 Wipes Total)",B0BJ13XWDD,https://m.media-amazon.com/images/I/81oqQg8YNjL._AC_UL320_.jpg,6 sizes,True,$31.56 with Subscribe & Save discount$3.00 coupon applied at checkoutSave $3.00 with coupon$4.94,4.9 out of 5 stars,2088
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDM4NTIxMDI5MzQxMDQ2OjE3MDgxMDEzMTg6c3BfYXRmOjMwMDExMTM1MzgxMjAwMjo6MDo6&url=%2FDUDE-Wipes-Extra-Large-Vitamin-Go%2Fdp%2FB0C22SZQ3Y%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dbaby%2Bwipes%26qid%3D1708101318%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"DUDE Wipes - Flushable Wipes - 6 Pack, 288 Wipes - Shea BUTTer Smooth Extra-Large Adult Wet Wipes - Vitamin-E & Aloe - Septic and Sewer Safe",B0C22SZQ3Y,https://m.media-amazon.com/images/I/716w0KC-1JL._AC_UL320_.jpg,"2 sizes, 4 scents",True,$18.96 with Subscribe & Save discount$0.07,4.7 out of 5 stars,139516
https://www.amazon.com/HUGGIES-Natural-Unscented-Sensitive-Flip-top/dp/B007C8NJCE/ref=sr_1_5?keywords=baby+wipes&qid=1708101318&sr=8-5,"Huggies Natural Care Sensitive Baby Wipes, Unscented, Hypoallergenic, 99% Purified Water, 56 Count (Pack of 8)",B007C8NJCE,https://m.media-amazon.com/images/I/812NcTodhGL._AC_UL320_.jpg,10 sizes,True,$13.02 with Subscribe & Save discount$3.06,4.8 out of 5 stars,15762
https://www.amazon.com/Unscented-Huggies-Simply-Fragrance-Free-Diaper/dp/B08QRKY3NJ/ref=sr_1_6?keywords=baby+wipes&qid=1708101318&sr=8-6,"Huggies Simply Clean Fragrance-Free Baby Wipes, 11 Flip-Top Packs (704 Wipes Total)",B08QRKY3NJ,https://m.media-amazon.com/images/I/81fH2yjK5mL._AC_UL320_.jpg,3 sizes,True,"$16.27 with Subscribe & Save discountSpend $80.00, Get $20 Amazon Credit$2.43",4.7 out of 5 stars,57491
https://www.amazon.com/Amazon-Elements-Wipes-Unscented-Flip-Top/dp/B07H53W5WP/ref=sr_1_7?keywords=baby+wipes&qid=1708101318&sr=8-7,"Amazon Elements Baby Wipes, Fragrance Free, White, 810 Count (9 Packs of 90) (Previously 810 Count)",B07H53W5WP,https://m.media-amazon.com/images/I/81C6kwca-XL._AC_UL320_.jpg,2 sizes,True,"$20.43 with Subscribe & Save discountSpend $80.00, Get $20 Amazon Credit",4.7 out of 5 stars,43300
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODI4ODk1OTYzMDQxMDQ2OjE3MDgxMDEzMTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDE2NjcxNTUwODk5ODo6MDo6&url=%2FPampers-Wipes-Sensitive-Perfume-Multi%2Fdp%2FB0BJ13K7FR%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Dbaby%2Bwipes%26keywords%3Dbaby%2Bwipes%26pd_rd_i%3DB0BJ13K7FR%26pd_rd_r%3D1a64f557-fbb0-4d65-8e02-8847f3da8128%26pd_rd_w%3DAv3c6%26pd_rd_wg%3D4pd3M%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DSPK8E8VHDNG6YS8V3SZ5%26qid%3D1708101318%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Pampers Sensitive Baby Wipes, Water Based, Hypoallergenic and Unscented, 8 Fip-Top Packs, 4 Refill Packs (1008 Wipes Total)",B0BJ13K7FR,https://m.media-amazon.com/images/I/91x2pWKhfDL._AC_UL320_.jpg,$34.97,True,$33.22 with Subscribe & Save discount$3.00 coupon applied at checkoutSave $3.00 with coupon$3.47,4.8 out of 5 stars,111176
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODI4ODk1OTYzMDQxMDQ2OjE3MDgxMDEzMTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDE0NTIyMjM1NjA5ODo6MTo6&url=%2FWaterWipes-Sensitive-Wipes-Count-Packs%2Fdp%2FB008KJEYLO%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Dbaby%2Bwipes%26keywords%3Dbaby%2Bwipes%26pd_rd_i%3DB008KJEYLO%26pd_rd_r%3D1a64f557-fbb0-4d65-8e02-8847f3da8128%26pd_rd_w%3DAv3c6%26pd_rd_wg%3D4pd3M%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DSPK8E8VHDNG6YS8V3SZ5%26qid%3D1708101318%26rdc%3D1%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"WaterWipes Plastic-Free Original Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 60 Count (Pack of 12), Packaging May Vary",B008KJEYLO,https://m.media-amazon.com/images/I/616wrFeELSL._AC_UL320_.jpg,$41.97,True,$39.87 with Subscribe & Save discount<label>Extra 20% off</label> when you subscribeExtra 20% off when you subscribe$5.83,4.7 out of 5 stars,73347
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODI4ODk1OTYzMDQxMDQ2OjE3MDgxMDEzMTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA0NzY5MDk5NjE5ODo6Mjo6&url=%2FCompany-Conscious-Plant-Based-Hypoallergenic-Dermatologist%2Fdp%2FB07SH6HN2X%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Dbaby%2Bwipes%26keywords%3Dbaby%2Bwipes%26pd_rd_i%3DB07SH6HN2X%26pd_rd_r%3D1a64f557-fbb0-4d65-8e02-8847f3da8128%26pd_rd_w%3DAv3c6%26pd_rd_wg%3D4pd3M%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DSPK8E8VHDNG6YS8V3SZ5%26qid%3D1708101318%26rdc%3D1%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"The Honest Company Clean Conscious Wipes | 99% Water, Compostable, Plant-Based, Baby Wipes | Hypoallergenic, EWG Verified | Pattern Play, 576 Count",B07SH6HN2X,https://m.media-amazon.com/images/I/81zg-Cb5EDL._AC_UL320_.jpg,$37.99,True,$36.09 with Subscribe & Save discount<label>Extra 20% off</label> when you subscribeExtra 20% off when you subscribe$6.60,4.8 out of 5 stars,3808
