url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/CHAIR-Office-Chair-Computer-Gaming/dp/B08KSCDM47/ref=sr_1_1?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-1,Neo Chair Office Computer Desk Chair Gaming-Ergonomic Mid Back Cushion Lumbar Support with Wheels Comfortable Blue Mesh Racing Seat Adjustable Swivel Rolling Home Executive (Black),B08KSCDM47,https://m.media-amazon.com/images/I/71EgGUGVrrL._AC_UL320_.jpg,$43.98,True,List:$84.98,4.0 out of 5 stars,10000
https://www.amazon.com/AmazonBasics-Puresoft-PU-Padded-Mid-Back-Computer/dp/B081H3Y5NW/ref=sr_1_2?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-2,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest, 26""D x 23.75""W x 42""H, Black",B081H3Y5NW,https://m.media-amazon.com/images/I/71i08qnZeDL._AC_UL320_.jpg,$89.34,True,,4.2 out of 5 stars,34503
https://www.amazon.com/Desk-Chair-Ergonomic-Computer-Executive/dp/B0CJDSC94C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-3,"Desk Chair - Armless Mesh Office Chair, Ergonomic Computer Desk Chair, No Armrest Small Mid Back Executive Task Chair with Lumbar Support and Swivel Rolling for Small Spaces, Grey",B0CJDSC94C,https://m.media-amazon.com/images/I/61YJwmypIXL._AC_UL320_.jpg,$29.99,True,,4.4 out of 5 stars,812
https://www.amazon.com/Furmax-Support-Computer-Ergonomic-Armrest/dp/B07B7K7N3P/ref=sr_1_4?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-4,"Furmax Office Chair Mid Back Swivel Lumbar Support Desk Chair, Computer Ergonomic Mesh Chair with Armrest (Black)",B07B7K7N3P,https://m.media-amazon.com/images/I/71ohGSWApfL._AC_UL320_.jpg,$39.99,False,,4.3 out of 5 stars,62078
https://www.amazon.com/PayLessHere-Computer-Adjustable-Ergonomic-Executive/dp/B0CHJ8R9MJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-5,PayLessHere Home Office Chair Desk Computer Chair Adjustable Ergonomic Chair Lumbar Support Armrest Executive with High Density Mesh 360 Degree Swivel Chair for Men Women Adults Chair (Black),B0CHJ8R9MJ,https://m.media-amazon.com/images/I/71TgFAGP0KL._AC_UL320_.jpg,$18.99,False,Typical:$19.99,4.5 out of 5 stars,181
https://www.amazon.com/Orange-Factory-Legged-Adjustable-Computer/dp/B0CN6G3LRT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-6,Cross Legged Office Desk Chair No Wheels Fabric Padded Modern Swivel Height Adjustable Wide Seat Computer Task Vanity Chair for Home Office Mid Back Accent Chair (Beige),B0CN6G3LRT,https://m.media-amazon.com/images/I/81Uoj7fnwrL._AC_UL320_.jpg,$69.98,True,List:$139.98,4.6 out of 5 stars,107
https://www.amazon.com/BestMassage-Office-Desk-Gaming-Chair/dp/B01ICHJIM8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-7,BestOffice PC Gaming Chair Ergonomic Office Chair Desk Chair with Lumbar Support Flip Up Arms Headrest PU Leather Executive High Back Computer Chair for Adults Women Men (White),B01ICHJIM8,https://m.media-amazon.com/images/I/51V5budxXHL._AC_UL320_.jpg,$49.99,False,Typical:$56.99,4.2 out of 5 stars,36736
https://www.amazon.com/Sweetcrispy-Waiting-Reception-Conference-breakroom/dp/B0CK89J4CH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-8,"Sweetcrispy Waiting Room Chairs, Office Desk Guest Chair with Padded Arms for Elderly Home Reception Area Conference Room Lobby Side breakroom, Big and Tall PU Leather Without Wheels, Black",B0CK89J4CH,https://m.media-amazon.com/images/I/613+9dtHWdL._AC_UL320_.jpg,6 sizes,True,List:$49.98,4.4 out of 5 stars,198
https://www.amazon.com/CangLong-Century-Leisure-Upholstered-Kitchen/dp/B09NWB2KBX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-9,"CangLong Mid Century Modern Leisure Upholstered Metal Legs for Kitchen Living Room Dining Chair, Set of 2, Brown",B09NWB2KBX,https://m.media-amazon.com/images/I/51RvoqjJ+fL._AC_UL320_.jpg,$56.43,True,List:$28.22,3.9 out of 5 stars,98
https://www.amazon.com/Sweetcrispy-Armless-Computer-Support-Adjustable/dp/B0CC94YWBF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.IY8zLz-3k7YXstdZPpHanJZ7IAcMpmh6JBz7JShmt1XR4K0fhs8KKfzC__sJ3o9FMEe8QiCZur7w_uN8UQGaEIcTh2VGz7WuuYR2CWfRtau-ybmT_rNYZcL1G4cxnEJGBnjDnqPmR4I0MF41SlMhNvNu01uBioUBA2f4kFkihhLDepQnyffvR9hONQkYdsjfbHAseSXz0T9OtSn005CaNIoYW9P_hJAVwOxQpqizeZjZD856gKI93l64OOL_mPwApIoIYW-_NkMCnQdcWDlBof6pNomRA6EyUC1yNxFMT2w.VqNTZCaK9iHc-b-E39fX_SUdIMzW9Q_FEjmicd8TGe0&dib_tag=se&keywords=chair&qid=1707850517&sr=8-10,"Sweetcrispy Small Office Desk Chair with Wheels Armless Comfy Computer Chair with Lumbar Support, PU Leather Low Back Adjustable Height 360Â° Rolling Swivel Task Chair Without Arm for Home, Bedroom",B0CC94YWBF,https://m.media-amazon.com/images/I/716uJOXRyyL._AC_UL320_.jpg,$37.58,True,List:$54.99,4.4 out of 5 stars,403
