url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/Cascade-Dishwasher-Detergent-ActionPacs-Dishwashing/dp/B0BJW11NVL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.NBmBvT0Eeh7CaRM4iHYcyuS7hAdIYGSGherIPCmsWvF_tB3rbT8vmKxmzWDyaqhV__xCbNY5lguv4MYREprCjS1P5GPQBV60Y7smXg4wv7cmg-UWG6H091z-RJK7YDNYEpFhNbHZQgp_bfYoOTpHhCeiVSarDHDZgYVFdr2HGOiK-78SkLV1WaYEegJAVCRAR5PcrMKVzd9p0a9xpZOb8NghFhl67SqI2lMPDUyahUY.LXyeEVL1vA4c1dXTT4p1vXuAFNxTR2zZg9FYUpEbLtI&dib_tag=se&keywords=dishwasher&qid=1707935855&rdc=1&sr=8-1,"Cascade Platinum Plus Dishwasher Pod, Dish Detergent ActionPacs Dish Pods, Fresh, 52 Count",B0BJW11NVL,https://m.media-amazon.com/images/I/813yizMo7OL._AC_UY218_.jpg,$19.94,True,,4.8 out of 5 stars,91486
https://www.amazon.com/COMFEE-Dishwasher-Countertop-High-Temp-Apartments/dp/B09QCJ6TDZ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.NBmBvT0Eeh7CaRM4iHYcyuS7hAdIYGSGherIPCmsWvF_tB3rbT8vmKxmzWDyaqhV__xCbNY5lguv4MYREprCjS1P5GPQBV60Y7smXg4wv7cmg-UWG6H091z-RJK7YDNYEpFhNbHZQgp_bfYoOTpHhCeiVSarDHDZgYVFdr2HGOiK-78SkLV1WaYEegJAVCRAR5PcrMKVzd9p0a9xpZOb8NghFhl67SqI2lMPDUyahUY.LXyeEVL1vA4c1dXTT4p1vXuAFNxTR2zZg9FYUpEbLtI&dib_tag=se&keywords=dishwasher&qid=1707935855&sr=8-2,"COMFEE' Portable Mini Dishwasher Countertop with 5L Built-in Water Tank for Apartments& RVs, No Hookup Needed, 6 Programs, 360Â° Dual Spray, 192â High-Temp& Air-Dry Function",B09QCJ6TDZ,https://m.media-amazon.com/images/I/61i2tsiCaGL._AC_UY218_.jpg,$299.99,True,,4.3 out of 5 stars,1764
https://www.amazon.com/Cascade-Platinum-ActionPacs-Dishwasher-Detergent/dp/B086ZJTVS5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.NBmBvT0Eeh7CaRM4iHYcyuS7hAdIYGSGherIPCmsWvF_tB3rbT8vmKxmzWDyaqhV__xCbNY5lguv4MYREprCjS1P5GPQBV60Y7smXg4wv7cmg-UWG6H091z-RJK7YDNYEpFhNbHZQgp_bfYoOTpHhCeiVSarDHDZgYVFdr2HGOiK-78SkLV1WaYEegJAVCRAR5PcrMKVzd9p0a9xpZOb8NghFhl67SqI2lMPDUyahUY.LXyeEVL1vA4c1dXTT4p1vXuAFNxTR2zZg9FYUpEbLtI&dib_tag=se&keywords=dishwasher&qid=1707935855&rdc=1&sr=8-3,"Cascade Platinum Dishwasher Pods, Dishwasher Detergent Pod, Dishwasher Soap Pod, Actionpacs Dish Washing Pod, Lemon, 62 Count Dishwasher Detergent Pods (Packaging may vary)",B086ZJTVS5,https://m.media-amazon.com/images/I/814o8a13uvL._AC_UY218_.jpg,$19.94,True,,4.8 out of 5 stars,21968
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDYyNDkwMzA2MDAwNDQ6MTcwNzkzNTg1NTpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDMzODM3MzUwMzk4OjowOjo&url=%2FComfee-WQP6-3602H-W-Countertop-Dishwasher-White%2Fdp%2FB096RYWSQM%2Fref%3Dsxin_14_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Ddishwasher%26dib%3DeyJ2IjoiMSJ9.9ACMXGSjt8jXsoC864YPcdQn_1wQGj40rpaQu95oUvdBgs8QuQeV9SI1omJDP-yq471xS9W7P8rcDJDFuUGWsw.DtxTkjLUPuqjxGWwZuB1D7H5CE95ty5FXhChcveSzyw%26dib_tag%3Dse%26keywords%3Ddishwasher%26pd_rd_i%3DB096RYWSQM%26pd_rd_r%3D46922b22-5b32-44ab-be17-4cbcf773ba9f%26pd_rd_w%3Dhl53E%26pd_rd_wg%3D6JGf4%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DXDCXRNP61MC9C36T6N2J%26qid%3D1707935855%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"COMFEEâ Portable Mini Dishwasher, Energy Star, Countertop, 6 Place Settings, with 8 Washing Programs, Speed, Baby-Care, ECO& Glass, Dish Washer for Dorm, RV& Apartment, White",B096RYWSQM,https://m.media-amazon.com/images/I/51U7DS+AEVL._AC_UL320_.jpg,$259.41,True,Energy provider rebates may be available$289.99,4.3 out of 5 stars,1849
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDYyNDkwMzA2MDAwNDQ6MTcwNzkzNTg1NTpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDYzNzUwOTc3Mjk4OjoxOjo&url=%2FCOMFEE-Countertop-Dishwasher-Portable-Apartments%2Fdp%2FB09QC9947J%2Fref%3Dsxin_14_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Ddishwasher%26dib%3DeyJ2IjoiMSJ9.9ACMXGSjt8jXsoC864YPcdQn_1wQGj40rpaQu95oUvdBgs8QuQeV9SI1omJDP-yq471xS9W7P8rcDJDFuUGWsw.DtxTkjLUPuqjxGWwZuB1D7H5CE95ty5FXhChcveSzyw%26dib_tag%3Dse%26keywords%3Ddishwasher%26pd_rd_i%3DB09QC9947J%26pd_rd_r%3D46922b22-5b32-44ab-be17-4cbcf773ba9f%26pd_rd_w%3Dhl53E%26pd_rd_wg%3D6JGf4%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DXDCXRNP61MC9C36T6N2J%26qid%3D1707935855%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"COMFEE' Countertop Dishwasher, Portable Dishwasher with 6L Built-in Water Tank, Mini Dishwasher with More Space Inside, 7 Programs, UV Hygiene& Auto Door Open, for Apartments, Dorms& RVs",B09QC9947J,https://m.media-amazon.com/images/I/61szRdco92L._AC_UL320_.jpg,$299.99,True,List:$369.99,4.3 out of 5 stars,1764
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDYyNDkwMzA2MDAwNDQ6MTcwNzkzNTg1NTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDY5NTEyOTI0MzAyOjoyOjo&url=%2FCOSTWAY-Countertop-Dishwasher-Preserve-Apartments%2Fdp%2FB09DTXSVJ9%2Fref%3Dsxin_14_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Ddishwasher%26dib%3DeyJ2IjoiMSJ9.9ACMXGSjt8jXsoC864YPcdQn_1wQGj40rpaQu95oUvdBgs8QuQeV9SI1omJDP-yq471xS9W7P8rcDJDFuUGWsw.DtxTkjLUPuqjxGWwZuB1D7H5CE95ty5FXhChcveSzyw%26dib_tag%3Dse%26keywords%3Ddishwasher%26pd_rd_i%3DB09DTXSVJ9%26pd_rd_r%3D46922b22-5b32-44ab-be17-4cbcf773ba9f%26pd_rd_w%3Dhl53E%26pd_rd_wg%3D6JGf4%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DXDCXRNP61MC9C36T6N2J%26qid%3D1707935855%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"COSTWAY Countertop Dishwasher, 6 Place Settings Built-in Dishwasher with 72 H Preserve, Air Dry Function, LED Touch Control and 5 Washing Programs, Dish Washer for Small Apartments, Dorms, Boats, RVs",B09DTXSVJ9,https://m.media-amazon.com/images/I/51TDEW--58L._AC_UL320_.jpg,$299.99,False,$30.00 coupon applied at checkoutSave $30.00 with coupon$349.99,4.1 out of 5 stars,100
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDYyNDkwMzA2MDAwNDQ6MTcwNzkzNTg1NTpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMTcyOTQ2OTc4OTk4OjozOjo&url=%2FCOMFEE-Portable-Dishwasher-Countertop-High-Temp%2Fdp%2FB0C4KRYJZ5%2Fref%3Dsxin_14_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Ddishwasher%26dib%3DeyJ2IjoiMSJ9.9ACMXGSjt8jXsoC864YPcdQn_1wQGj40rpaQu95oUvdBgs8QuQeV9SI1omJDP-yq471xS9W7P8rcDJDFuUGWsw.DtxTkjLUPuqjxGWwZuB1D7H5CE95ty5FXhChcveSzyw%26dib_tag%3Dse%26keywords%3Ddishwasher%26pd_rd_i%3DB0C4KRYJZ5%26pd_rd_r%3D46922b22-5b32-44ab-be17-4cbcf773ba9f%26pd_rd_w%3Dhl53E%26pd_rd_wg%3D6JGf4%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DXDCXRNP61MC9C36T6N2J%26qid%3D1707935855%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"COMFEE' Portable Dishwasher Countertop with 5L Built-in Water Tank, No Hookup Needed, 6 Programs, 360Â° Dual Spray, 192â High-Temp& Air-Dry Function, Mini Dishwasher for RVs, White",B0C4KRYJZ5,https://m.media-amazon.com/images/I/71EsfQpasqL._AC_UL320_.jpg,$269.99,True,List:$299.99,4.3 out of 5 stars,1535
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDYyNDkwMzA2MDAwNDQ6MTcwNzkzNTg1NTpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMTM5MjM0NjU0OTk4Ojo0Ojo&url=%2FRCA-RDW3208-CURRDW3208-Counter-Dishwasher%2Fdp%2FB00ZTVIPDO%2Fref%3Dsxin_14_pa_sp_search_thematic%3Fcontent-id%3Damzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%253Aamzn1.sym.9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26cv_ct_cx%3Ddishwasher%26dib%3DeyJ2IjoiMSJ9.9ACMXGSjt8jXsoC864YPcdQn_1wQGj40rpaQu95oUvdBgs8QuQeV9SI1omJDP-yq471xS9W7P8rcDJDFuUGWsw.DtxTkjLUPuqjxGWwZuB1D7H5CE95ty5FXhChcveSzyw%26dib_tag%3Dse%26keywords%3Ddishwasher%26pd_rd_i%3DB00ZTVIPDO%26pd_rd_r%3D46922b22-5b32-44ab-be17-4cbcf773ba9f%26pd_rd_w%3Dhl53E%26pd_rd_wg%3D6JGf4%26pf_rd_p%3D9877e0e3-4e2c-4fe3-bc39-5d1afac8a97a%26pf_rd_r%3DXDCXRNP61MC9C36T6N2J%26qid%3D1707935855%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"RCA RDW3208 Counter Top Dishwasher, 6 Place Settings, Portable, White",B00ZTVIPDO,https://m.media-amazon.com/images/I/61yL2DX2ZXL._AC_UL320_.jpg,$232.74,True,,4.3 out of 5 stars,349
https://www.amazon.com/Cascade-Platinum-ActionPacs-Dishwasher-Detergent/dp/B01N5D2WMT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.NBmBvT0Eeh7CaRM4iHYcyuS7hAdIYGSGherIPCmsWvF_tB3rbT8vmKxmzWDyaqhV__xCbNY5lguv4MYREprCjS1P5GPQBV60Y7smXg4wv7cmg-UWG6H091z-RJK7YDNYEpFhNbHZQgp_bfYoOTpHhCeiVSarDHDZgYVFdr2HGOiK-78SkLV1WaYEegJAVCRAR5PcrMKVzd9p0a9xpZOb8NghFhl67SqI2lMPDUyahUY.LXyeEVL1vA4c1dXTT4p1vXuAFNxTR2zZg9FYUpEbLtI&dib_tag=se&keywords=dishwasher&qid=1707935855&sr=8-4,"Cascade Platinum Dishwasher Pods, ActionPacs Dishwasher Detergent with Dishwasher Cleaner Action, Fresh Scent, 36 count(Packaging May Vary)",B01N5D2WMT,https://m.media-amazon.com/images/I/711DMDaAkmL._AC_UY218_.jpg,"10 sizes, 2 scents",True,,4.8 out of 5 stars,71954
https://www.amazon.com/COMFEE-Portable-Dishwasher-Countertop-High-Temp/dp/B0C4KRYJZ5/ref=sr_1_5?dib=eyJ2IjoiMSJ9.NBmBvT0Eeh7CaRM4iHYcyuS7hAdIYGSGherIPCmsWvF_tB3rbT8vmKxmzWDyaqhV__xCbNY5lguv4MYREprCjS1P5GPQBV60Y7smXg4wv7cmg-UWG6H091z-RJK7YDNYEpFhNbHZQgp_bfYoOTpHhCeiVSarDHDZgYVFdr2HGOiK-78SkLV1WaYEegJAVCRAR5PcrMKVzd9p0a9xpZOb8NghFhl67SqI2lMPDUyahUY.LXyeEVL1vA4c1dXTT4p1vXuAFNxTR2zZg9FYUpEbLtI&dib_tag=se&keywords=dishwasher&qid=1707935855&sr=8-5,"COMFEE' Portable Dishwasher Countertop with 5L Built-in Water Tank, No Hookup Needed, 6 Programs, 360Â° Dual Spray, 192â High-Temp& Air-Dry Function, Mini Dishwasher for RVs, White",B0C4KRYJZ5,https://m.media-amazon.com/images/I/71EsfQpasqL._AC_UY218_.jpg,$269.99,True,,4.3 out of 5 stars,1535
