,url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
0,https://www.amazon.com/Cache-5400RPM-6-0Gb-Power-Internal/dp/B01I0SN780,"WL 1TB 64MB Cache 5400RPM SATA III (6.0Gb/s) (Low Power & Heavy Duty) 3.5"" Internal Hard Drive (PC, NAS & CCTV DVR) - w/ 1 Year Warranty",‎WD1000GSA6454,https://images-na.ssl-images-amazon.com/images/I/51 lVjzIB6L.jpg,$28.99,,,4.3 out of 5 stars,244
1,https://www.amazon.com/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q,"Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",‎802.11a,https://images-na.ssl-images-amazon.com/images/I/414ttR4lUZL.jpg,$27.99,,,4.8 out of 5 stars,213047
2,https://www.amazon.com/fanxiang-S660-500GB-Internal-Solid/dp/B0BNQBD46W,"fanxiang S660 PCIe 4.0 500GB NVMe M.2 SSD for PS5 with Heatsink, Up to 5000MB/s, Suitable for Playstation 5 Enthusiasts, Technology Enthusiasts, IT Professionals",‎S660,https://images-na.ssl-images-amazon.com/images/I/31kHOUDza5L.jpg,$42.99,,,4.6 out of 5 stars,3988
3,https://www.amazon.com/Replacement-Western-Digital-Desktop-External/dp/B0721DWC6T,Khanka Hard Travel Case Replacement for Western Digital WD 3TB 4TB 6TB 8TB 10TB 12TB 14TB 16TB 18TB 20TB USB 3.0 My Book Desktop External Hard Drive,B0721DWC6T,https://images-na.ssl-images-amazon.com/images/I/51mnKAgmH6L.jpg,$18.99,,,4.5 out of 5 stars,97
4,https://www.amazon.com/TEYADI-External-Portable-Transfer-Compatible/dp/B0B7L91THW,"TEYADI External Hard Drive 320GB Ultra Slim Portable Hard Drive USB 3.0 Super Fast Transfer Speed, HDD Storage Compatible PC,Apple Mac, Smart tv,PS4",‎T205,https://images-na.ssl-images-amazon.com/images/I/31ZbbzN62ZL.jpg,$23.99,,,4.4 out of 5 stars,227
5,https://www.amazon.com/Hard-Drive-Erin-McCarthy-ebook/dp/B0785WQGS1,Hard Drive,"‎ December 7, 2017",https://m.media-amazon.com/images/I/81MgRoAjPlL._SY385_.jpg,$0.99,,,4.0 out of 5 stars,29
6,https://www.amazon.com/SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25",‎Extreme Portable SSD,https://images-na.ssl-images-amazon.com/images/I/41PCxZ6ZmuL.jpg,$155.99$130.38$155.99,,,4.6 out of 5 stars,56535
7,https://www.amazon.com/Rise-Mode-Internal-Desktop-Laptop/dp/B0CRSRBGQ4,Rise Mode SSD Sata III 256GB Internal Solid State Drive Game Line Desktop PC or Laptop 2.5,‎Gamer Line,https://images-na.ssl-images-amazon.com/images/I/41InRimEbhL.jpg,$19.90,,,,0
8,https://www.amazon.com/GALIMU-Western-Digital-Gaming-Internal/dp/B0CSP2RT4P,"GALIMU PC SN735 Western Digital 512GB Gaming Gen4 M.2 2280 PCIe NVMe Internal Solid State Drive (SSD) - Stream Deck, Laptop & Desktop Compatible - Internal Solid State Drive (OEM New)",‎Western Digital,https://images-na.ssl-images-amazon.com/images/I/41thbY91l-L.jpg,$43.99,,,,0
9,https://www.amazon.com/P04525-B21-400GB-12Gbps-Mixed-Systems-Tested/dp/B0CP88Z7RT,"P04525-B21-400GB SSD, 2.5"" SAS 12Gbps Mixed use SFF, with Tray for G8, G9, G10 Series Systems. Fully Tested - Backed by One Year Warranty!",‎P04525-B21,https://images-na.ssl-images-amazon.com/images/I/410eNXsNyTL.jpg,$149.00,,,,0
