url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/l-f-Monochromatic-Multi-Cheeks-Dazzling/dp/B088W7L534/ref=sr_1_1?keywords=makeup&qid=1708098481&sr=8-1,"e.l.f. Monochromatic Multi Stick, Luxuriously Creamy & Blendable Color, For Eyes, Lips & Cheeks, Dazzling Peony, 0.17 oz (5 g)",B088W7L534,https://m.media-amazon.com/images/I/61KedtnoewL._AC_UL320_.jpg,$5.00,True,$4.75 with Subscribe & Save discountSave 5% on 4 select item(s),4.3 out of 5 stars,53935
https://www.amazon.com/SHEGLAM-Liquid-Makeup-Cheeks-Finish/dp/B0BHFBBH25/ref=sr_1_2?keywords=makeup&qid=1708098481&sr=8-2,SHEGLAM Color Bloom Liquid Blush Makeup for Cheeks Matte Finish - Love Cake,B0BHFBBH25,https://m.media-amazon.com/images/I/41e5ZzLrkLL._AC_UL320_.jpg,$6.99,True,Save more with Subscribe & Save,4.5 out of 5 stars,2632
https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=sr_1_3?keywords=makeup&qid=1708098481&sr=8-3,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,B00T0C9XRK,https://m.media-amazon.com/images/I/61K6cQhw4EL._AC_UL320_.jpg,$4.99,True,Save more with Subscribe & Save$12.17,4.3 out of 5 stars,356841
https://www.amazon.com/l-f-Gel-Based-Hydrating-Smoothing-Moisturizes/dp/B09XMYFTB7/ref=sr_1_4?keywords=makeup&qid=1708098481&sr=8-4,"e.l.f. Power Grip Primer, Gel-Based & Hydrating Face Primer For Smoothing Skin & Gripping Makeup, Moisturizes & Primes, 0.811 Fl Oz (24 ml)",B09XMYFTB7,https://m.media-amazon.com/images/I/61zxDYp6S-L._AC_UL320_.jpg,$10.00,True,$9.50 with Subscribe & Save discount,4.6 out of 5 stars,21246
https://www.amazon.com/l-f-Reviver-Nourishing-High-shine-Cruelty-free/dp/B0CMJZ8G6Y/ref=sr_1_5?keywords=makeup&qid=1708098481&sr=8-5,"e.l.f. Glow Reviver Lip Oil, Nourishing Tinted Lip Oil For A High-shine Finish, Infused With Jojoba Oil, Vegan & Cruelty-free, Rose Envy",B0CMJZ8G6Y,https://m.media-amazon.com/images/I/61vKMD8VMFL._AC_UL320_.jpg,$8.00,True,,4.6 out of 5 stars,295
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Moisturizing-Tinted/dp/B0BL8HY2QP/ref=sr_1_6?keywords=makeup&qid=1708098481&rdc=1&sr=8-6,"NYX PROFESSIONAL MAKEUP Fat Oil Lip Drip, Moisturizing, Shiny and Vegan Tinted Lip Gloss - Missed Call (Sheer Pink)",B0BL8HY2QP,https://m.media-amazon.com/images/I/71WSq6r0PcL._AC_UL320_.jpg,$8.97,True,$8.52 with Subscribe & Save discount<label>Extra 15% off</label> when you subscribeExtra 15% off when you subscribe,4.5 out of 5 stars,13036
https://www.amazon.com/Garnier-SkinActive-Micellar-Cleansing-Water/dp/B01M9F9JYH/ref=sr_1_7?keywords=makeup&qid=1708098481&sr=8-7,"Garnier Micellar Cleansing Water, All-in-1 Makeup Remover and Facial Cleanser, For All Skin Types, 3.4 Fl Oz (100mL), 1 Count (Packaging May Vary)",B01M9F9JYH,https://m.media-amazon.com/images/I/71oehMQkl4L._AC_UL320_.jpg,6 sizes,True,$3.79 with Subscribe & Save discountGet 4 for the price of 3$1.17,4.7 out of 5 stars,61909
https://www.amazon.com/l-f-Cosmetics-Hydrating-Concealer-Full-coverage/dp/B07ZR14WBZ/ref=sr_1_8?keywords=makeup&qid=1708098481&sr=8-8,"e.l.f. Hydrating Camo Concealer, Lightweight, Full Coverage, Long Lasting, Conceals, Corrects, Covers, Hydrates, Highlights, Light Sand, Satin Finish, 25 Shades, All-Day Wear, 0.20 Fl Oz",B07ZR14WBZ,https://m.media-amazon.com/images/I/51HHN1HGgFL._AC_UL320_.jpg,$6.00,False,List:$7.00,4.4 out of 5 stars,36509
https://www.amazon.com/Pieces-Triangle-Cosmetic-Foundation-Blender/dp/B0BR7YG7QH/ref=sr_1_9?keywords=makeup&qid=1708098481&sr=8-9,8 Pieces Triangle Powder Puff Face Soft Triangle Makeup Puff Velour Cosmetic Foundation Blender Sponge Beauty Makeup Tools,B0BR7YG7QH,https://m.media-amazon.com/images/I/71e+us+O9zL._AC_UL320_.jpg,$3.99,True,Save more with Subscribe & SaveSave 5% on 4 select item(s)$0.50,4.5 out of 5 stars,901
https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_10?keywords=makeup&qid=1708098481&rdc=1&sr=8-10,"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",B08H3JPH74,https://m.media-amazon.com/images/I/71MQo8pHmBL._AC_UL320_.jpg,$9.98,True,$9.48 with Subscribe & Save discount$0.24 coupon applied at checkoutSave $0.24 with coupon$12.99,4.5 out of 5 stars,86998
https://www.amazon.com/l-f-Cosmetics-retractable-eyeliner-waterproof/dp/B07MWSXPT1/ref=sr_1_11?keywords=makeup&qid=1708098481&sr=8-11,"e.l.f. No Budge Retractable Eyeliner, Creamy, Ultra-Pigmented & Waterproof, Creates Bold & Defined Lines, Vegan & Cruelty-Free, Black 0.006 Oz",B07MWSXPT1,https://m.media-amazon.com/images/I/51bn3oFzysL._AC_UL320_.jpg,$4.00,True,$3.80 with Subscribe & Save discountSave 5% on 4 select item(s)$4.00,4.4 out of 5 stars,16292
https://www.amazon.com/Eakroo-Moisturizing-Multi-Use-Lightweight-Long-Lasting/dp/B0C3CWWMJM/ref=sr_1_12?keywords=makeup&qid=1708098481&sr=8-12,"Eakroo 6 Colors Lip Tint Stain Mini Liquid Lipstick, Korean Lip Gloss Moisturizing Natural, Multi-Use Lip and Cheek Tint, Non-Stick Cup, Lightweight, High Pigment, Long-Lasting, Vivid Color",B0C3CWWMJM,https://m.media-amazon.com/images/I/71xiZzDFVnL._AC_UL320_.jpg,$8.99,True,$8.54 with Subscribe & Save discountJoin Prime to buy this item at $8.09$3.26,4.1 out of 5 stars,1269
https://www.amazon.com/Maybelline-New-York-Treatment-Multi-Use/dp/B004Y9GTOO/ref=sr_1_13?keywords=makeup&qid=1708098481&rdc=1&sr=8-13,"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 110, 1 Count (Packaging May Vary)",B004Y9GTOO,https://m.media-amazon.com/images/I/61q19bw9evL._AC_UL320_.jpg,$8.79,True,$8.35 with Subscribe & Save discount<label>Extra 15% off</label> when you subscribeExtra 15% off when you subscribe$10.99,4.4 out of 5 stars,204503
https://www.amazon.com/l-f-Flawless-Foundation-Semi-Matte-Long-Lasting-previously/dp/B004X1QCC2/ref=sr_1_14?keywords=makeup&qid=1708098481&sr=8-14,"e.l.f. Flawless Finish Foundation, Improves Uneven Skin Tone, Lightweight, Medium Coverage & Semi-Matte, Vegan & Cruelty-Free, Bisque, 0.68 Fl Oz",B004X1QCC2,https://m.media-amazon.com/images/I/511BsAsru7L._AC_UL320_.jpg,$5.80,False,$5.70 with Subscribe & Save discount,4.3 out of 5 stars,36402
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Butter-Non-Sticky/dp/B09SP2XHKT/ref=sr_1_15?keywords=makeup&qid=1708098481&rdc=1&sr=8-15,"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Sugar Glass (Clear)",B09SP2XHKT,https://m.media-amazon.com/images/I/51Ba+Npec2L._AC_UL320_.jpg,$5.97,True,$5.67 with Subscribe & Save discount<label>Extra 15% off</label> when you subscribeExtra 15% off when you subscribe,4.5 out of 5 stars,103955
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Jumbo-Pencil/dp/B001TK4LM8/ref=sr_1_16?keywords=makeup&qid=1708098481&sr=8-16,"NYX PROFESSIONAL MAKEUP Jumbo Eye Pencil, Blendable Eyeshadow Stick & Eyeliner Pencil - Milk",B001TK4LM8,https://m.media-amazon.com/images/I/61V2aPexbvL._AC_UL320_.jpg,$5.49,True,$5.22 with Subscribe & Save discountGet 3 for the price of 2$6.00,4.4 out of 5 stars,77914
https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Instant-Styler/dp/B08M58SWB1/ref=sr_1_17?keywords=makeup&qid=1708098481&rdc=1&sr=8-17,"NYX PROFESSIONAL MAKEUP The Brow Glue, Extreme Hold Eyebrow Gel - Clear",B08M58SWB1,https://m.media-amazon.com/images/I/61n56I7YGcL._AC_UL320_.jpg,$9.97,True,$9.47 with Subscribe & Save discount<label>Extra 15% off</label> when you subscribeExtra 15% off when you subscribe,4.3 out of 5 stars,25064
https://www.amazon.com/MSQ-Separator-Applicator-Designed-Cosmetic/dp/B07GGR2LY1/ref=sr_1_18?keywords=makeup&qid=1708098481&sr=8-18,Eyelash Comb MSQ Eyelash Separator Mascara Applicator Eyelash Definer With Comb Cover Arc Designed Cosmetic Brushes Tool Black (1PCS),B07GGR2LY1,https://m.media-amazon.com/images/I/31BHcMH1q-L._AC_UL320_.jpg,$4.99,True,List:$4.99,4.3 out of 5 stars,26516
https://www.amazon.com/Neutrogena-Cleansing-Towelette-Waterproof-Individually/dp/B07GKVBQDG/ref=sr_1_19?keywords=makeup&qid=1708098481&sr=8-19,"Neutrogena Makeup Remover Wipes Singles, Daily Facial Cleanser Towelettes, Gently Removes Oil & Makeup, Alcohol-Free Makeup Wipes, Individually Wrapped, 20 ct",B07GKVBQDG,https://m.media-amazon.com/images/I/71Nqkdjq52L._AC_UL320_.jpg,3 sizes,True,$6.50 with Subscribe & Save discount$0.34,4.8 out of 5 stars,56151
https://www.amazon.com/l-f-Conditioning-Separating-Long-Lasting-Cruelty-Free/dp/B0BSP2J3BH/ref=sr_1_20?keywords=makeup&qid=1708098481&sr=8-20,"e.l.f. Clear Lash & Brow Mascara 2-Pack, Conditioning Clear Brow & Lash Gel For Grooming, Defining & Separating, Long-Lasting, Vegan & Cruelty-Free",B0BSP2J3BH,https://m.media-amazon.com/images/I/61MSuRt8pgL._AC_UL320_.jpg,$5.00,True,$4.75 with Subscribe & Save discountSave 5% on 4 select item(s),4.4 out of 5 stars,5062
https://www.amazon.com/l-f-Complexion-Soft-Focus-Hyaluronic-Cruelty-Free/dp/B0B5MHD48T/ref=sr_1_21?keywords=makeup&qid=1708098481&sr=8-21,"e.l.f. Halo Glow Liquid Filter, Complexion Booster For A Glowing, Soft-Focus Look, Infused With Hyaluronic Acid, Vegan & Cruelty-Free, 5 Medium/Tan",B0B5MHD48T,https://m.media-amazon.com/images/I/71dzwr2VOzL._AC_UL320_.jpg,$14.00,True,$13.30 with Subscribe & Save discount,4.5 out of 5 stars,6535
https://www.amazon.com/Maybelline-New-York-Poreless-Translucent/dp/B00PFCSNWA/ref=sr_1_22?keywords=makeup&qid=1708098481&sr=8-22,"Maybelline Fit Me Matte + Poreless Pressed Face Powder Makeup & Setting Powder, Translucent, 1 Count",B00PFCSNWA,https://m.media-amazon.com/images/I/81GXjEwGRPL._AC_UL320_.jpg,$6.59,False,$6.59 with Subscribe & Save discount$9.49,4.6 out of 5 stars,76483
https://www.amazon.com/Rmoce-Hydrating-Moisturizing-No-Sticky-Transparent/dp/B0C2CKGWWQ/ref=sr_1_23?keywords=makeup&qid=1708098481&sr=8-23,"Rmoce Lip Oil, Hydrating Lip Glow & Plumper Gloss, Moisturizing No-Sticky Transparent Plumping Lip Balm for Lip Care",B0C2CKGWWQ,https://m.media-amazon.com/images/I/51RKBaSlcOL._AC_UL320_.jpg,$4.99,True,Save more with Subscribe & Save$4.99,4.3 out of 5 stars,1072
https://www.amazon.com/Kimchi-Chic-Beauty-Puff-Powder/dp/B094SY5Y3L/ref=sr_1_24?keywords=makeup&qid=1708098481&sr=8-24,"KimChi Chic Beauty Puff Puff Pass Set & Bake Setting Powder, Soft Finishing Powder - Translucent",B094SY5Y3L,https://m.media-amazon.com/images/I/81seigFENpL._AC_UL320_.jpg,$19.00,True,Save more with Subscribe & Save,4.6 out of 5 stars,565
https://www.amazon.com/Makeup-Brushes-Foundation-Brush-Eyeshadow/dp/B094NLR225/ref=sr_1_25?keywords=makeup&qid=1708098481&sr=8-25,"Makeup Brushes 22 Pcs Makeup Kit,Foundation Brush Eyeshadow Brush Make up Brushes Set (Green, 22 Piece Set)",B094NLR225,https://m.media-amazon.com/images/I/715dYkCDMRL._AC_UL320_.jpg,$9.99,True,List:$9.99,4.4 out of 5 stars,17301
https://www.amazon.com/e-l-f-Liquid-Metallic-Eyeshadows-Moon/dp/B0947DWWTN/ref=sr_1_26?keywords=makeup&qid=1708098481&sr=8-26,"e.l.f. Liquid Metallic Eyeshadow, Gel Formula, Multi-Dimensional Finish For Bold Eye Looks, One-Swipe Coverage, Vegan & Cruelty-Free, Moon, 0.1 Fl Oz",B0947DWWTN,https://m.media-amazon.com/images/I/71t-LqmRXYL._AC_UL320_.jpg,$6.00,True,$5.70 with Subscribe & Save discountSave 5% on 4 select item(s),4.4 out of 5 stars,5501
https://www.amazon.com/Highlighter-Brightens-Three-dimensional-Highlighter-moonbeam/dp/B0BHRC3JF8/ref=sr_1_27?keywords=makeup&qid=1708098481&sr=8-27,"Glitter Powder Highlighter Makeup, Body Brightens the Natural Three-dimensional Face Blusher Patting Powder Highlighter. (01# White moonbeam)",B0BHRC3JF8,https://m.media-amazon.com/images/I/41HtrZVfaQL._AC_UL320_.jpg,$5.99,True,Save more with Subscribe & Save$3.77,4.2 out of 5 stars,2033
https://www.amazon.com/Hydrating-Lightweight-Lasting-Hydrates-Smooths/dp/B00HVI8WYU/ref=sr_1_28?keywords=makeup&qid=1708098481&sr=8-28,"e.l.f. Hydrating Face Primer, Makeup Primer For Flawless, Smooth Skin & Long-Lasting Makeup, Fills In Pores & Fine Lines, Vegan & Cruelty-free, Small",B00HVI8WYU,https://m.media-amazon.com/images/I/51SnbcNmm-L._AC_UL320_.jpg,$8.00,True,$7.60 with Subscribe & Save discountSave 5% on 4 select item(s),4.4 out of 5 stars,64361
https://www.amazon.com/SHANY-All-One-Harmony-Makeup/dp/B005UKZAJG/ref=sr_1_29?keywords=makeup&qid=1708098481&sr=8-29,"SHANY All In One Harmony Makeup Set - Ultimate Color Combination - Eyeshadows, Blush Powder, Lip-gloss Lipstick, Mini Makeup brushes, Makeup applicators, HOLIDAY GIFT IDEA - New Edition",B005UKZAJG,https://m.media-amazon.com/images/I/81OfB1fbpkL._AC_UL320_.jpg,$24.30,True,Save more with Subscribe & Save,4.5 out of 5 stars,14956
https://www.amazon.com/UNIFULL-Professional-eyeshadow-lipstick-concealer/dp/B0BGXLGBVZ/ref=sr_1_30?keywords=makeup&qid=1708098481&sr=8-30,"UNIFULL 132 Color All- In- One Makeup For Women Full Kit,Professional Makeup Kit,Makeup Gift Set for Women,Girls&Teens,Include eyeshadow/lipstick/concealer/Lip Gloss/Eyeliner/Mascaraï¼006N2-Silverï¼",B0BGXLGBVZ,https://m.media-amazon.com/images/I/71CRE242uYL._AC_UL320_.jpg,$39.99,True,Typical:$45.99,4.4 out of 5 stars,947
https://www.amazon.com/Paris-Makeup-True-Natural-Glow-Illuminator-Highlighter-Day-Radiant-Glow/dp/B074PQ14XV/ref=sr_1_31?keywords=makeup&qid=1708098481&rdc=1&sr=8-31,"LâOrÃ©al Paris Makeup True Match Lumi Glotion Natural Glow Enhancer Lotion, Fair, 1.35 Ounces",B074PQ14XV,https://m.media-amazon.com/images/I/61+-BhX7NxL._AC_UL320_.jpg,$12.98,True,$12.33 with Subscribe & Save discount$0.24 coupon applied at checkoutSave $0.24 with coupon$16.99,4.6 out of 5 stars,33071
https://www.amazon.com/Airspun-Loose-Powder-Translucent/dp/B0BDW1MN6Y/ref=sr_1_32?keywords=makeup&qid=1708098481&sr=8-32,Airspun Loose Powder Translucent,B0BDW1MN6Y,https://m.media-amazon.com/images/I/61O+frKyKeL._AC_UL320_.jpg,$6.99,True,$6.64 with Subscribe & Save discountSave 5% on 4 select item(s)$8.99,4.5 out of 5 stars,7368
https://www.amazon.com/BEAKEY-Sponges-Latex-Free-High-density-Perfect/dp/B01F36JEXE/ref=sr_1_33?keywords=makeup&qid=1708098481&sr=8-33,"BEAKEY 5 Pcs Makeup Sponges Set, Latex-Free Blender, Perfect for Liquid, Cream, Powder, Soft Wonder Blender Boun Boun Beauty Sponges, Beauty Gift Set",B01F36JEXE,https://m.media-amazon.com/images/I/81ah142mUKL._AC_UL320_.jpg,$5.85,True,$5.27 with Subscribe & Save discount50% off promotion available$1.17,4.6 out of 5 stars,94086
