url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/Simple-Houseware-Stackable-Storage-Organizer/dp/B08BNJ8XB2/ref=sr_1_1?keywords=shoe+rack&qid=1707902979&sr=8-1,"Simple Houseware 3-Tier Shoe Rack Storage Organizer, Bronze",B08BNJ8XB2,https://m.media-amazon.com/images/I/81Gz2iusPML._AC_UL320_.jpg,4 sizes,True,List:$27.99,4.6 out of 5 stars,90781
https://www.amazon.com/VASAGLE-Organizer-Entryway-Industrial-ULBS038B01/dp/B09LRZVKTF/ref=sr_1_2?keywords=shoe+rack&qid=1707902979&sr=8-2,"VASAGLE Shoe Rack for Entryway, 5 Tier Shoe Storage Shelves, 16-20 Pairs Shoe Organizer, with Sturdy Wooden Top and Steel Frame, Free Standing, Industrial, Rustic Brown and Black ULBS038B01",B09LRZVKTF,https://m.media-amazon.com/images/I/91wehcDDraL._AC_UL320_.jpg,2 sizes,True,,4.6 out of 5 stars,1714
https://www.amazon.com/SONGMICS-Cabinet-Storage-Organizer-ULSH55H/dp/B00ZOEMT1K/ref=sr_1_3?keywords=shoe+rack&qid=1707902979&sr=8-3,"SONGMICS 5 Tiers Shoe Rack Space Saving Tower Cabinet Storage Organizer Black 39""L Holds 20-25 Pair of Shoes ULSH55H",B00ZOEMT1K,https://m.media-amazon.com/images/I/81fVBL5DgqL._AC_UL320_.jpg,$18.99,True,List:$21.59,4.4 out of 5 stars,17405
https://www.amazon.com/Kitsure-Shoe-Organizer-Multipurpose-Stackable/dp/B0CN6LPG42/ref=sr_1_4?keywords=shoe+rack&qid=1707902979&sr=8-4,"Kitsure Shoe Organizer - 8-Tier Large Shoe Rack for Closet Holds Up to 48 Pairs Shoes & Boots, Multipurpose Shoe Shelf with Hook Rack, Stackable Tall Shoe Rack for Entryway, Bedroom, Garage",B0CN6LPG42,https://m.media-amazon.com/images/I/71V7gQEyfHL._AC_UL320_.jpg,$34.99,True,Join Prime to buy this item at $29.99$49.99,4.6 out of 5 stars,200
https://www.amazon.com/Entryway-Stackable-Foldable-Organizer-Standing/dp/B0986WLDHZ/ref=sr_1_5?keywords=shoe+rack&qid=1707902979&sr=8-5,"4-Tier Bamboo Shoe Rack for Entryway, Stackable | Foldable | Natural, Shoe Organizer for Hallway Closet, Free Standing Shoe Racks for Indoor Outdoor",B0986WLDHZ,https://m.media-amazon.com/images/I/71xtKbE6T2L._AC_UL320_.jpg,13 sizes,True,List:$41.99,4.6 out of 5 stars,4496
https://www.amazon.com/Simple-Houseware-3-Tier-Stackable-Storage/dp/B0B6GZ1DZY/ref=sr_1_6?keywords=shoe+rack&qid=1707902979&sr=8-6,"Simple Houseware 3-Tier Stackable Shoe Rack Storage Shelf, Black",B0B6GZ1DZY,https://m.media-amazon.com/images/I/81P5lEOZpFL._AC_UL320_.jpg,$25.87,True,List:$29.99,4.6 out of 5 stars,33622
https://www.amazon.com/VTRIN-Organizer-Entryway-Storage-Durable/dp/B09L6Z6679/ref=sr_1_7?keywords=shoe+rack&qid=1707902979&sr=8-7,VTRIN Narrow Shoe Rack with Covers 10 Tiers Tall Shoe Rack for Closet Entryway Sturdy Shoe Rack Organizer Holds 20-22 Pairs Free Standing Shoe Storage Cabinet with Dustproof Cover Shoe Shelf,B09L6Z6679,https://m.media-amazon.com/images/I/61jiYKWngZL._AC_UL320_.jpg,$29.99,True,"Buy any 2, Save 3%$39.99",4.4 out of 5 stars,1397
https://www.amazon.com/VASAGLE-Organizer-Entryway-Industrial-ULBS035B01/dp/B08Y6NZ3KM/ref=sr_1_8?keywords=shoe+rack&qid=1707902979&sr=8-8,"VASAGLE Shoe Rack, 4 Tier Shoe Storage Rack for 9-12 Pairs of Shoes, Shoe Organizer for Entryway, with 3 Fabric Shelves and Wooden Top, Steel Frame, Industrial, Rustic Brown and Black ULBS035B01",B08Y6NZ3KM,https://m.media-amazon.com/images/I/71Bke5AbVAS._AC_UL320_.jpg,4 sizes,True,,4.7 out of 5 stars,4655
https://www.amazon.com/Storage-Cabinet-Plastic-Organizer-Entryway/dp/B08N4C97TS/ref=sr_1_9?keywords=shoe+rack&qid=1707902979&sr=8-9,"HOMIDEC Shoe Rack, 6 Tier Shoe Storage Cabinet 24 Pair Plastic Shoe Shelves Organizer for Closet Hallway Bedroom Entryway",B08N4C97TS,https://m.media-amazon.com/images/I/71+L+7g-xjL._AC_UL320_.jpg,$39.99,True,Save 5% on 2 select item(s)$52.99,4.1 out of 5 stars,7644
https://www.amazon.com/VTRIN-Capacity-Organizer-Entryway-Storage/dp/B0CKXLKBVQ/ref=sr_1_10?keywords=shoe+rack&qid=1707902979&sr=8-10,"VTRIN 10 Tiers Shoe Rack Tall Large Capacity 50 Pairs Wide Shoe Organizer Sturdy Shoe Shelf for Entryway with Two Hooks Metal Shoe Storage for Closet, Bedroom, Black",B0CKXLKBVQ,https://m.media-amazon.com/images/I/71YpM5D8MwL._AC_UL320_.jpg,$29.99,True,"Buy any 2, Save 3%",4.4 out of 5 stars,2141
