,url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
0,https://www.amazon.com/AutoFocus-Microphone-NexiGo-Streaming-Compatible/dp/B08931JJLV,"NexiGo N930AF Webcam with Microphone for Desktop, Autofocus, Webcam for Laptop, Computer Camera, 1080p HD USB Web Camera, Compatible with Zoom/Skype/Teams/Webex",B08931JJLV,https://images-na.ssl-images-amazon.com/images/I/41ZPpp3W6QL.jpg,$39.97,,,4.5 out of 5 stars,26202
1,https://www.amazon.com/Hgarsin-Microphone-Brightness-360%C2%B0Rotating-Streaming/dp/B0BB2C2GLR,"Hgarsin 1080p Webcam with Light, USB Webcam with Dual Microphone, Streaming Web Camera, Tripod and Webcam Privacy Cover Included, Plug and Play Webcam, Three Level Light, Laptop Camera for Zoom",‎4.96 x 2.99 x 2.44 inches,https://images-na.ssl-images-amazon.com/images/I/41XggMC5RZL.jpg,$49.99,,,3.9 out of 5 stars,5
2,https://www.amazon.com/ELP-Raspberry-118degree-Distortion-Industrial/dp/B0C289GYVZ,"ELP 16MP Wide Angle USB Camera Module for Raspberry Pi and Computer 4K Mini UVC USB2.0 Video Webcam Board with 118degree No Distortion Lens IMX298 Industrial PC Lightburn Camera for Laptop,Jetson Nano",‎4.45 x 2.8 x 2.32 inches,https://images-na.ssl-images-amazon.com/images/I/51BgNvngugL.jpg,$66.99,,,4.6 out of 5 stars,24
3,https://www.amazon.com/Angetube-Streaming-Microphone-Privacy-Computer/dp/B0BL2H5MQ7,"Angetube Webcam, 2K Streaming Webcam with Ring Light, HDR Laptop Camera with Remote, Dual Stereo Microphone and Privacy Cover, Auto Focus 5X Zoom in, Computer Camera for Zoom/Skype/Teams/Webex",B0BL2H5MQ7,https://images-na.ssl-images-amazon.com/images/I/41jIRV5CrlL.jpg,$65.99,,,4.2 out of 5 stars,172
4,https://www.amazon.com/Webcam-Streaming-Recording-Built-Correction/dp/B07M6Y7355,"1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam, 90°View Computer Camera, Plug and Play USB Webcam for Online Calling/Conferencing, Zoom/Skype/Facetime/YouTube, Laptop/Desktop",B07M6Y7355,https://images-na.ssl-images-amazon.com/images/I/41o65QrvvCL.jpg,$34.99$34.99,,,4.3 out of 5 stars,23208
5,https://www.amazon.com/AnkerWork-Megapixel-Canceling-Adjustable-Livestreams/dp/B0CCY8RBJD,"AnkerWork C310 Webcam, 4K Webcam, 12 Megapixel, AI Auto Focus, AI Framing, AI Noise Canceling Mic, Built-in Privacy Cover, and Adjustable FOV, 1080p@60FPS HDR, for Video Calls and Livestreams",‎2.95 x 1.77 x 2.1 inches,https://images-na.ssl-images-amazon.com/images/I/41e7iSQiX2L.jpg,$99.99,,,4.3 out of 5 stars,216
6,https://www.amazon.com/Logitech-Desktop-Widescreen-Calling-Recording/dp/B004FHO5Y6,"Logitech C270 HD Webcam, 720p, Widescreen HD Video Calling,Light Correction, Noise-Reducing Mic, For Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/Macbook/Tablet - Black",‎1,https://images-na.ssl-images-amazon.com/images/I/316Q0fvU 2L.jpg,$25.89,,,4.4 out of 5 stars,19717
7,https://www.amazon.com/0-028-Inch-Ultra-Thin-Blocker-MacBook-Security%EF%BC%88Pink/dp/B08PYQ5Y6C,"Webcam Cover for Laptop, 0.028-Inch Ultra-Thin Webcam Cover Blocker for MacBook, iMac, Laptop, Desktop, PC, iPad, Smart Phone Protect Your Privacy and Security（Pink/Blue/Green-3 Pack）",‎Camera Cover Slide,https://images-na.ssl-images-amazon.com/images/I/31-4dk0MOnL.jpg,$6.99,,,4.4 out of 5 stars,1305
8,https://www.amazon.com/MakLuen-Compatible-15-Plus-Back-Security/dp/B0CK2HMZB2,"MakLuen Camera Cover,Webcam Cover Compatible for Phone 15/Phone 15 Plus.Back Lens Cover Protect Your Privacy and Security(Black)",B0CK2HMZB2,https://images-na.ssl-images-amazon.com/images/I/318FvEa8SVL.jpg,$9.99,,,,0
9,https://www.amazon.com/Poly-Studio-Professional-Plantronics-Conference/dp/B08TLJPZP8,"Poly Studio P5 Professional Webcam (Plantronics) - 1080p HD Laptop Camera for Video Conference & Distance Learning - Monitor & Tripod Mount - Privacy Shutter-Works w/Teams (Certified), Zoom(Certified)",B08TLJPZP8,https://images-na.ssl-images-amazon.com/images/I/41ZggWZj5pL.jpg,$39.97$31.99,,,4.0 out of 5 stars,511
